2008-08-05 13:28:49 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 163]
2008-08-05 13:28:50 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 164]
2008-08-05 13:28:50 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 165]
2008-08-05 13:35:56 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 163]
2008-08-05 13:35:56 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 164]
2008-08-05 13:35:56 Notice: Notice (8): Undefined index:  id in [APP/views/books/view.ctp, line 165]
2008-08-05 14:21:07 Notice: Notice (8): Undefined offset:  0 in [APP/controllers/pages_controller.php, line 72]
2008-08-05 14:21:45 Notice: Notice (8): Undefined offset:  0 in [APP/controllers/pages_controller.php, line 72]
2008-08-05 14:21:45 Notice: Notice (8): Undefined offset:  1 in [APP/controllers/pages_controller.php, line 72]
2008-08-05 14:21:45 Notice: Notice (8): Undefined offset:  2 in [APP/controllers/pages_controller.php, line 72]
2008-08-05 22:24:25 Notice: Notice (8): Undefined variable: XX in [APP/views/books/view.ctp, line 17]
2008-08-06 12:04:36 Notice: Notice (8): Undefined index:  ActiveListings in [APP/views/elements/listings_group.ctp, line 4]
2008-08-06 12:51:33 Notice: Notice (8): Undefined variable: disabledRightSidebar in [APP/views/layouts/default.ctp, line 107]
2008-08-06 13:48:32 Notice: Notice (8): Undefined variable: tb in [APP/models/book.php, line 95]
2008-08-06 13:49:52 Notice: Notice (8): Undefined variable: tb in [APP/models/book.php, line 95]
2008-08-06 14:40:40 Notice: Notice (8): Undefined variable: y in [APP/models/book.php, line 239]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 6]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 10]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 11]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 12]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 13]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 14]
2008-08-06 15:31:16 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 21]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 22]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 23]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 24]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 25]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 26]
2008-08-06 15:31:17 Notice: Notice (8): Undefined variable: book in [APP/views/books/view.ctp, line 27]
2008-08-06 15:35:34 Notice: Notice (8): Undefined index:  book_id in [APP/models/book.php, line 139]
2008-08-06 15:36:24 Notice: Notice (8): Undefined index:  book_id in [APP/models/book.php, line 141]
2008-08-06 15:37:08 Notice: Notice (8): Undefined index:  book_id in [APP/models/book.php, line 140]
2008-08-07 14:13:26 Notice: Notice (8): Undefined variable: isbn13 in [APP/models/book.php, line 236]
2008-08-07 14:16:30 Notice: Notice (8): Trying to get property of non-object in [APP/models/book.php, line 264]
2008-08-07 14:26:54 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/books_controller.php, line 39]
2008-08-07 14:46:11 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/books_controller.php, line 80]
2008-08-07 14:46:40 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/books_controller.php, line 80]
2008-08-07 15:25:34 Notice: Notice (8): Undefined index:  school_id in [APP/views/books/index.ctp, line 15]
2008-08-07 15:25:35 Notice: Notice (8): Undefined index:  name in [APP/views/books/index.ctp, line 15]
2008-08-07 15:25:52 Notice: Notice (8): Undefined index:  school_id in [APP/views/books/index.ctp, line 15]
2008-08-07 15:25:53 Notice: Notice (8): Undefined index:  name in [APP/views/books/index.ctp, line 15]
2008-08-07 15:26:50 Notice: Notice (8): Undefined index:  school_id in [APP/views/books/index.ctp, line 15]
2008-08-07 15:26:51 Notice: Notice (8): Undefined index:  name in [APP/views/books/index.ctp, line 15]
2008-08-07 15:27:02 Notice: Notice (8): Undefined index:  school_id in [APP/views/books/index.ctp, line 15]
2008-08-07 15:27:02 Notice: Notice (8): Undefined index:  name in [APP/views/books/index.ctp, line 15]
2008-08-07 15:34:46 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:35:21 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:35:46 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:37:09 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:37:27 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:37:52 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:38:44 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:39:01 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:40:52 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:41:33 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:41:47 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:42:27 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:42:35 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:44:48 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 21]
2008-08-07 15:46:10 Notice: Notice (8): Undefined property:  BooksController::$param in [APP/controllers/books_controller.php, line 15]
2008-08-07 15:46:10 Notice: Notice (8): Undefined variable: school in [APP/controllers/books_controller.php, line 27]
2008-08-07 15:46:53 Notice: Notice (8): Undefined property:  BooksController::$param in [APP/controllers/books_controller.php, line 15]
2008-08-07 16:42:18 Notice: Notice (8): Undefined variable: school_id in [APP/app_controller.php, line 10]
2008-08-07 16:43:15 Notice: Notice (8): Undefined variable: school_id in [APP/app_controller.php, line 10]
2008-08-07 16:43:15 Notice: Notice (8): Undefined variable: school_id in [APP/app_controller.php, line 11]
2008-08-07 16:43:20 Notice: Notice (8): Undefined variable: school_id in [APP/app_controller.php, line 10]
2008-08-07 16:43:20 Notice: Notice (8): Undefined variable: school_id in [APP/app_controller.php, line 11]
2008-08-07 16:52:25 Notice: Notice (8): Undefined property:  View::$Session in [APP/views/layouts/default.ctp, line 60]
2008-08-07 16:56:34 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 10:52:10 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 10:52:56 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 10:55:12 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 10:55:24 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 11:06:47 Notice: Notice (8): Undefined variable: perpage in [APP/controllers/users_controller.php, line 140]
2008-08-09 11:43:50 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 11:44:59 Notice: Notice (8): Undefined variable: school_info in [APP/views/layouts/default.ctp, line 56]
2008-08-09 11:53:00 Notice: Notice (8): Undefined variable: school_info in [APP/views/users/signup.ctp, line 14]
2008-08-11 13:47:08 Notice: Notice (8): Undefined index:  Auth.User.user_id in [APP/views/layouts/default.ctp, line 61]
2008-08-11 13:47:31 Notice: Notice (8): Undefined index:  Auth.User.user_id in [APP/views/layouts/default.ctp, line 62]
2008-08-11 14:12:06 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 433]
2008-08-11 14:12:06 Notice: Notice (8): Undefined index:  action in [CORE/cake/dispatcher.php, line 434]
2008-08-11 14:12:06 Notice: Notice (8): Undefined index:  controller in [CORE/cake/dispatcher.php, line 144]
2008-08-11 22:17:33 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 10]
2008-08-11 22:17:33 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 12]
2008-08-11 22:17:33 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 13]
2008-08-11 22:17:33 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 16]
2008-08-11 22:17:33 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 18]
2008-08-11 22:17:35 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 282]
2008-08-11 22:18:34 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 12]
2008-08-11 22:18:34 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 14]
2008-08-11 22:18:34 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 15]
2008-08-11 22:18:34 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 18]
2008-08-11 22:18:34 Notice: Notice (8): Undefined index:  Book in [APP/views/elements/topsellers.ctp, line 20]
2008-08-11 22:18:36 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 282]
2008-08-11 22:22:16 Notice: Notice (8): Undefined index:  book in [APP/views/elements/topsellers.ctp, line 11]
2008-08-11 22:22:16 Notice: Notice (8): Undefined index:  book in [APP/views/elements/topsellers.ctp, line 12]
2008-08-11 22:22:16 Notice: Notice (8): Undefined index:  book in [APP/views/elements/topsellers.ctp, line 14]
2008-08-11 22:22:17 Notice: Notice (8): Undefined index:  book in [APP/views/elements/topsellers.ctp, line 15]
2008-08-11 22:22:17 Notice: Notice (8): Undefined index:  book in [APP/views/elements/topsellers.ctp, line 18]
2008-08-11 22:22:18 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 282]
2008-08-11 22:33:12 Notice: Notice (8): Undefined variable: author in [APP/views/elements/topsellers.ctp, line 20]
2008-08-12 09:38:26 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 291]
2008-08-12 09:38:26 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 292]
2008-08-12 09:39:01 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 291]
2008-08-12 09:39:01 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 292]
2008-08-12 09:39:31 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 291]
2008-08-12 09:39:31 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 292]
2008-08-12 09:57:06 Notice: Notice (8): Undefined property:  BooksController::$get_school_id in [APP/controllers/books_controller.php, line 125]
2008-08-12 09:57:06 Notice: Notice (8): Undefined variable: where_school in [APP/controllers/books_controller.php, line 126]
2008-08-12 09:57:28 Notice: Notice (8): Undefined variable: where_school in [APP/controllers/books_controller.php, line 126]
2008-08-12 14:15:33 Notice: Notice (8): Undefined property:  ActiveListingsController::$Book in [APP/controllers/active_listings_controller.php, line 53]
2008-08-12 14:16:02 Notice: Notice (8): Undefined property:  ActiveListingsController::$ActiveListing in [APP/controllers/active_listings_controller.php, line 53]
2008-08-12 14:16:28 Notice: Notice (8): Undefined index:  low_price in [APP/models/book.php, line 330]
2008-08-12 14:16:28 Notice: Notice (8): Undefined index:  high_price in [APP/models/book.php, line 331]
2008-08-12 14:16:28 Notice: Notice (8): Undefined index:  last_sold_price in [APP/models/book.php, line 332]
2008-08-12 14:16:28 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 333]
2008-08-12 14:16:28 Notice: Notice (8): Undefined index:  lowest_likenew_price in [APP/models/book.php, line 334]
2008-08-12 14:19:07 Notice: Notice (8): Undefined index:  low_price in [APP/models/book.php, line 330]
2008-08-12 14:19:07 Notice: Notice (8): Undefined index:  high_price in [APP/models/book.php, line 331]
2008-08-12 14:19:07 Notice: Notice (8): Undefined index:  last_sold_price in [APP/models/book.php, line 332]
2008-08-12 14:19:07 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 333]
2008-08-12 14:19:07 Notice: Notice (8): Undefined index:  lowest_likenew_price in [APP/models/book.php, line 334]
2008-08-12 14:19:35 Notice: Notice (8): Undefined offset:  0 in [APP/models/book.php, line 332]
2008-08-12 14:19:35 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 333]
2008-08-12 14:28:35 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 342]
2008-08-12 14:28:37 Notice: Notice (8): Undefined index:  last_sold_price in [APP/views/active_listings/add.ctp, line 13]
2008-08-12 14:31:42 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 342]
2008-08-12 14:32:17 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 342]
2008-08-12 14:32:35 Notice: Notice (8): Undefined index:  avg_sold_price in [APP/models/book.php, line 342]
2008-08-12 14:41:49 Notice: Notice (8): Undefined variable: show_best_price in [APP/views/elements/book_info.ctp, line 3]
2008-08-12 14:41:50 Notice: Notice (8): Undefined variable: show_best_price in [APP/views/elements/book_info.ctp, line 33]
2008-08-12 14:56:31 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/active_listings_controller.php, line 32]
2008-08-12 15:06:54 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/add.ctp, line 4]
2008-08-12 15:06:55 Notice: Notice (8): Undefined variable: book in [APP/views/active_listings/add.ctp, line 12]
2008-08-12 15:06:56 Notice: Notice (8): Undefined variable: isbn in [APP/views/active_listings/add.ctp, line 13]
2008-08-12 15:06:57 Notice: Notice (8): Undefined variable: conditions in [APP/views/active_listings/add.ctp, line 14]
2008-08-12 15:06:58 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 298]
2008-08-12 15:06:58 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 299]
2008-08-12 15:06:58 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 313]
2008-08-12 15:16:22 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/books_controller.php, line 136]
2008-08-12 15:16:35 Notice: Notice (8): Undefined index:  isbn in [APP/controllers/books_controller.php, line 136]
2008-08-12 21:42:18 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/view/helpers/paginator.php, line 228]
2008-08-13 11:50:03 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 314]
2008-08-13 11:50:03 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 315]
2008-08-13 11:50:03 Notice: Notice (8): Undefined variable: isbn in [APP/controllers/books_controller.php, line 329]
2008-08-13 12:34:34 Notice: Notice (8): Undefined index:  last_sold_price in [APP/views/active_listings/add.ctp, line 21]
2008-08-13 12:34:36 Notice: Notice (8): Undefined index:  lowest_likenew_price in [APP/views/active_listings/add.ctp, line 27]
2008-08-13 12:41:00 Notice: Notice (8): Undefined offset:  0 in [APP/models/book.php, line 355]
2008-08-13 12:44:59 Notice: Notice (8): Undefined index:  last_sold_price in [APP/views/active_listings/add.ctp, line 21]
2008-08-13 12:45:00 Notice: Notice (8): Undefined index:  lowest_likenew_price in [APP/views/active_listings/add.ctp, line 27]
2008-08-13 12:50:57 Notice: Notice (8): Undefined index:  amazonListPrice in [APP/views/active_listings/add.ctp, line 33]
